sensor,date,recorded
ms_p4:sensor:, 4/1/2016 7:31:55 PM,0
ms_p4:sensor:, 4/1/2016 7:32:20 PM,255
ms_p4:sensor:, 4/1/2016 7:32:22 PM,0
ms_p4:sensor:, 4/1/2016 7:32:50 PM,255
ms_p4:sensor:, 4/1/2016 7:32:52 PM,0
ms_p4:sensor:, 4/1/2016 7:33:28 PM,255
ms_p4:sensor:, 4/1/2016 7:33:30 PM,0
ms_p4:sensor:, 4/1/2016 8:11:39 PM,255
ms_p4:sensor:, 4/1/2016 8:11:42 PM,0
ms_p4:sensor:, 4/1/2016 8:46:14 PM,255
ms_p4:sensor:, 4/1/2016 8:46:16 PM,0
ms_p4:sensor:, 4/1/2016 8:46:29 PM,255
ms_p4:sensor:, 4/1/2016 8:46:31 PM,0
ms_p4:sensor:, 4/1/2016 8:59:39 PM,255
ms_p4:sensor:, 4/1/2016 8:59:41 PM,0
ms_p4:sensor:, 4/1/2016 8:59:54 PM,255
ms_p4:sensor:, 4/1/2016 8:59:57 PM,0
ms_p4:sensor:, 4/1/2016 9:06:24 PM,255
ms_p4:sensor:, 4/1/2016 9:06:27 PM,0
ms_p4:sensor:, 4/1/2016 9:06:38 PM,255
ms_p4:sensor:, 4/1/2016 9:06:41 PM,0
ms_p4:sensor:, 4/1/2016 9:06:59 PM,255
ms_p4:sensor:, 4/1/2016 9:07:02 PM,0
ms_p4:sensor:, 4/1/2016 9:07:33 PM,255
ms_p4:sensor:, 4/1/2016 9:07:35 PM,0
ms_p4:sensor:, 4/1/2016 9:26:14 PM,255
ms_p4:sensor:, 4/1/2016 9:26:16 PM,0
ms_p4:sensor:, 4/1/2016 9:27:26 PM,255
ms_p4:sensor:, 4/1/2016 9:27:28 PM,0
ms_p4:sensor:, 4/1/2016 9:45:25 PM,255
ms_p4:sensor:, 4/1/2016 9:45:27 PM,0
ms_p4:sensor:, 4/1/2016 9:47:02 PM,255
ms_p4:sensor:, 4/1/2016 9:47:04 PM,0
ms_p4:sensor:, 4/1/2016 9:48:59 PM,255
ms_p4:sensor:, 4/1/2016 9:49:01 PM,0
ms_p4:sensor:, 4/1/2016 9:49:14 PM,255
ms_p4:sensor:, 4/1/2016 9:49:16 PM,0
ms_p4:sensor:, 4/1/2016 10:29:05 PM,255
ms_p4:sensor:, 4/1/2016 10:29:08 PM,0
ms_p4:sensor:, 4/1/2016 10:33:18 PM,255
ms_p4:sensor:, 4/1/2016 10:33:20 PM,0
ms_p4:sensor:, 4/1/2016 10:34:05 PM,255
ms_p4:sensor:, 4/1/2016 10:34:07 PM,0
ms_p4:sensor:, 4/1/2016 10:34:58 PM,255
ms_p4:sensor:, 4/1/2016 10:35:00 PM,0
ms_p4:sensor:, 4/1/2016 10:35:59 PM,255
ms_p4:sensor:, 4/1/2016 10:36:01 PM,0
ms_p4:sensor:, 4/1/2016 10:37:35 PM,255
ms_p4:sensor:, 4/1/2016 10:37:37 PM,0
ms_p4:sensor:, 4/1/2016 10:39:33 PM,255
ms_p4:sensor:, 4/1/2016 10:39:35 PM,0
ms_p4:sensor:, 4/1/2016 10:40:11 PM,255
ms_p4:sensor:, 4/1/2016 10:40:13 PM,0
ms_p4:sensor:, 4/1/2016 10:45:45 PM,255
ms_p4:sensor:, 4/1/2016 10:45:47 PM,0
ms_p4:sensor:, 4/1/2016 10:55:16 PM,255
ms_p4:sensor:, 4/1/2016 10:55:18 PM,0
ms_p4:sensor:, 4/1/2016 10:56:27 PM,255
ms_p4:sensor:, 4/1/2016 10:56:29 PM,0
ms_p4:sensor:, 4/1/2016 10:56:51 PM,255
ms_p4:sensor:, 4/1/2016 10:56:53 PM,0
ms_p4:sensor:, 4/1/2016 10:57:30 PM,255
ms_p4:sensor:, 4/1/2016 10:57:32 PM,0
ms_p4:sensor:, 4/1/2016 11:02:29 PM,255
ms_p4:sensor:, 4/1/2016 11:02:31 PM,0
ms_p4:sensor:, 4/1/2016 11:03:18 PM,255
ms_p4:sensor:, 4/1/2016 11:03:20 PM,0
ms_p4:sensor:, 4/1/2016 11:03:40 PM,255
ms_p4:sensor:, 4/1/2016 11:03:42 PM,0
ms_p4:sensor:, 4/1/2016 11:04:16 PM,255
ms_p4:sensor:, 4/1/2016 11:04:18 PM,0
ms_p4:sensor:, 4/1/2016 11:04:42 PM,255
ms_p4:sensor:, 4/1/2016 11:04:44 PM,0
ms_p4:sensor:, 4/1/2016 11:18:32 PM,255
ms_p4:sensor:, 4/1/2016 11:18:34 PM,0
ms_p4:sensor:, 4/1/2016 11:21:19 PM,255
ms_p4:sensor:, 4/1/2016 11:21:21 PM,0
ms_p4:sensor:, 4/2/2016 2:26:29 AM,255
ms_p4:sensor:, 4/2/2016 2:26:31 AM,0
ms_p4:sensor:, 4/2/2016 2:30:34 AM,255
ms_p4:sensor:, 4/2/2016 2:30:37 AM,0
ms_p4:sensor:, 4/2/2016 8:00:31 AM,255
ms_p4:sensor:, 4/2/2016 8:00:33 AM,0
ms_p4:sensor:, 4/2/2016 8:00:52 AM,255
ms_p4:sensor:, 4/2/2016 8:00:54 AM,0
ms_p4:sensor:, 4/2/2016 8:01:37 AM,255
ms_p4:sensor:, 4/2/2016 8:01:40 AM,0
ms_p4:sensor:, 4/2/2016 8:04:42 AM,255
ms_p4:sensor:, 4/2/2016 8:04:44 AM,0
ms_p4:sensor:, 4/2/2016 8:38:09 AM,255
ms_p4:sensor:, 4/2/2016 8:38:11 AM,0
ms_p4:sensor:, 4/2/2016 8:38:24 AM,255
ms_p4:sensor:, 4/2/2016 8:38:26 AM,0
ms_p4:sensor:, 4/2/2016 8:40:34 AM,255
ms_p4:sensor:, 4/2/2016 8:40:36 AM,0
ms_p4:sensor:, 4/2/2016 8:41:20 AM,255
ms_p4:sensor:, 4/2/2016 8:41:22 AM,0
ms_p4:sensor:, 4/2/2016 8:42:14 AM,255
ms_p4:sensor:, 4/2/2016 8:42:16 AM,0
ms_p4:sensor:, 4/2/2016 8:43:18 AM,255
ms_p4:sensor:, 4/2/2016 8:43:20 AM,0
ms_p4:sensor:, 4/2/2016 8:45:05 AM,255
ms_p4:sensor:, 4/2/2016 8:45:07 AM,0
ms_p4:sensor:, 4/2/2016 8:54:33 AM,255
ms_p4:sensor:, 4/2/2016 8:54:35 AM,0
ms_p4:sensor:, 4/2/2016 8:57:58 AM,255
ms_p4:sensor:, 4/2/2016 8:58:00 AM,0
ms_p4:sensor:, 4/2/2016 8:58:13 AM,255
ms_p4:sensor:, 4/2/2016 8:58:15 AM,0
ms_p4:sensor:, 4/2/2016 8:58:29 AM,255
ms_p4:sensor:, 4/2/2016 8:58:31 AM,0
ms_p4:sensor:, 4/2/2016 8:59:10 AM,255
